word,frequency
scholar,820051
farmer,450976
labourer,287369
farmers,282094
son,239335
servant,235058
daughter,181905
general,131460
domestic,126124
farm,116435
house,105520
keeper,96325
agricultural,78168
wife,66062
housekeeper,58954
seamstress,43300
and,42455
assistant,39768
school,37248
scholars,33627
maker,33568
in,32197
shop,31805
weaver,30472
linen,28399
clerk,27919
dressmaker,27545
carpenter,23885
no,23260
retired,20709
teacher,20000
of,18800
dealer,16243
mill,16183
pupil,16118
occupation,15539
factory,15240
at,14631
tailor,13330
cook,13097
railway,12812
dress,12612
worker,12603
grocer,12566
sister,12168
maid,11328
apprentice,10890
man,10849
boy,10697
nurse,10635
flax,10528
merchant,10507
spinner,9989
porter,9893
driver,9523
pensioner,9273
fisherman,9144
labour,8522
shoemaker,8287
laundress,8075
painter,7866
blacksmith,7866
publican,7819
baker,7641
attending,7568
infant,7510
nil,7408
smith,6972
winder,6894
student,6700
national,6578
unemployed,6505
draper,6429
boot,6296
c,6242
mason,6229
gardener,6226
work,6177
r,6117
works,6053
master,6047
on,5913
agent,5632
shopkeeper,5521
yarn,5514
car,5487
land,5405
engine,5360
brother,5331
cattle,5146
shepherd,5140
coachman,5107
commercial,4899
messenger,4873
girl,4867
manager,4854
to,4801
fitter,4782
stone,4735
butcher,4610
iron,4497
grocers,4445
a,4429
home,4421
charwoman,4369
milliner,4352
i,4333
black,4306
groom,4231
business,4220
herd,4167
army,4048
housemaid,4039
labourers,4024
postman,4019
genl,4009
shoe,3984
from,3983
woman,3904
engineer,3854
housewife,3839
post,3730
carter,3722
office,3711
cutter,3622
reeler,3586
spirit,3578
traveller,3527
not,3419
machinist,3417
drapers,3362
dresser,3350
coal,3349
coach,3346
d,3338
caretaker,3327
shirt,3253
s,3239
income,3217
knitter,3214
book,3206
wool,3203
steward,3155
ship,3124
cooper,3096
van,3028
dairy,2941
child,2908
printer,2905
r.i.c,2804
plumber,2803
bank,2775
joiner,2751
farming,2736
g,2666
builder,2646
sailor,2593
bricklayer,2578
owner,2512
damask,2490
civil,2475
f,2459
trade,2446
lady,2445
private,2429
machine,2426
plasterer,2401
hotel,2374
tailoress,2328
n,2323
cambric,2317
employed,2276
spinning,2233
p,2233
parlour,2223
linnen,2195
gen,2187
yard,2180
dividends,2176
keeping,2156
accountant,2130
stitcher,2117
law,2114
quay,2101
folder,2080
drapery,2080
the,2079
cotton,2072
soldier,2047
officer,2041
hand,1982
constable,1974
provision,1972
clergyman,1967
gardner,1967
money,1956
mercy,1936
fireman,1930
governess,1912
store,1905
smoother,1861
going,1851
lace,1823
medical,1815
laundry,1815
profession,1813
dock,1791
doffer,1785
spinster,1785
widow,1731
finisher,1720
miller,1716
solicitor,1712
brewery,1694
m,1690
wine,1685
contractor,1675
interest,1663
fish,1641
helper,1638
message,1623
confectioner,1597
agr,1582
mechanic,1577
embroiderer,1562
royal,1561
compositor,1555
attendant,1548
property,1547
seaman,1546
dom,1545
turner,1535
gas,1532
working,1517
carrier,1509
employment,1487
ex,1478
moulder,1472
builders,1472
tea,1444
horse,1429
catholic,1418
miner,1411
warehouse,1405
ireland,1372
foreman,1371
mother,1371
guard,1365
char,1363
rural,1357
victualler,1350
butler,1329
hardware,1328
hospital,1322
visitor,1320
cabinet,1318
living,1318
music,1314
lodging,1308
telegraph,1303
mistress,1302
farmeress,1298
l,1298
musician,1282
h,1280
shopman,1279
road,1274
saddler,1253
proprietor,1251
priest,1250
insurance,1244
thread,1237
asst,1233
grocery,1232
b,1226
sewer,1214
carman,1213
brick,1179
co,1174
paper,1171
corn,1152
police,1147
harness,1145
boatman,1145
holder,1142
sergt,1122
polisher,1114
bootmaker,1110
solicitors,1105
layer,1103
hemstitcher,1097
packer,1097
service,1092
housekeeping,1091
asylum,1084
religious,1083
surgeon,1076
kitchen,1075
telegraphist,1067
spreader,1064
manufacturer,1061
bar,1059
church,1051
spade,1048
dublin,1047
inspector,1038
annuity,1036
for,1018
nat,1015
waiter,1015
owners,1015
pedlar,1003
foundry,998
slater,996
nun,996
shipyard,994
box,992
room,982
cleaner,982
boiler,968
fowl,963
